"country","y","x1","x2","x3","x4","x21","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20"
"Central African Republic",4.3,0.043,3.704,0.43,0.405,54.3693,7.85780837,4.308,1001.711793,0.807,0.239,40.98765432,38.19590378,34.5496,49.19459,0.69,829,162.886,13.68,0.402,0.740740741,1.49
"Chad",5.052,0.129,3.282,0.228,0.398,52.8253,7.858482783,2.479598405,1553.131495,0.767,0.248,37.68844221,40.84914017,42.9501,28.4,0.69,1140,144.658,7.278934418,0.383,3.768844221,8.16
"Chile",5.758,4.517,0.611,1.134,0.856,80.1334,16.58595085,10.76136507,23908.86388,0.968,0.72,15.88785047,5.890266418,11.73821662,28.273047,0.207,13,24.292,79.17542702,0.775,9.462616822,13.32
"China",8.801,7.307,0.818,2.125,0.755,77.7444,14.03231,7.500069873,15067.74081,0.981,0.637,15.62913907,6.200068951,11.68,27.391,0.206,29,13.325,76.86191166,0.64,15.23178808,21.34
"Colombia",3.684,1.673,1.512,0.798,0.763,76.7479,14.39857006,8.504469872,13941.33097,0.992,0.601,21.23197903,9.588564873,15.27502,36.445861,0.427,83,63.885,55.75302124,0.722,5.373525557,8.81
"Congo",3.312,1.212,1.671,0.869,0.578,64.0531,12.08875833,6.152,3264.475827,0.933,0.434,24.91349481,22.34776688,20.93222,30.99925,0.565,378,108.379,47.56,0.569,1.557093426,2.21
"Costa Rica",3.127,1.633,0.922,0.886,0.811,79.4835,15.8667202,8.72317028,19562.35999,0.981,0.666,17.87916153,5.846722603,11.58937,33.466884,0.285,27,51.147,55.53047943,0.748,7.768187423,14.02
"Croatia",5.338,4.26,0.882,1.155,0.856,78.337,15.18179035,12.05498697,27784.40613,0.995,0.79,7.710280374,3.748035908,4.67412,14.37065,0.125,8,9.041,95.41595281,0.763,10.86448598,16.81
"Cyprus",7.023,6.024,0.607,1.168,0.892,81.382,15.35606003,12.28287983,38543.68022,0.974,0.813,8.856502242,2.704918861,10.47803,13.09041,0.11,6,7.142,79.93713379,0.712,20.1793722,33.71
"Czechia",11.506,10.094,1.178,1.484,0.894,79.0039,16.23899078,12.8280654,37668.16678,0.984,0.854,4.474272931,3.277196407,1.38824,8.71736,0.129,3,10.59,99.8598671,0.74,17.22595078,21.41
